bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	Prasinovirus	363032	47	13575	42.10251749128759	0.0	0.0
MAXBIN__002	Candidatus Thioglobus	1477397	308	8842	34.84193987503376	87.32394366197182	40.84507042253521
MAXBIN__003	Unknown_Viruses	146175	65	2590	45.935326715663194	0.0	0.0
MAXBIN__004	Candidatus Thioglobus	1463775	459	4545	36.30656747732534	77.46478873239437	16.901408450704224
MAXBIN__005	Unknown	1947495	809	2821	29.62026302225489	77.46478873239437	30.985915492957748
MAXBIN__006	Unknown_Viruses	226593	59	5544	39.97427295210185	0.0	0.0
MAXBIN__007	None	362847	159	2431	43.60784224477194	0.0	0.0
MAXBIN__008	Candidatus Thioglobus	1448665	720	2145	37.780234324716425	40.84507042253521	8.450704225352112
MAXBIN__009	Candidatus Pelagibacter	553415	234	2835	31.586454609528612	35.2112676056338	22.535211267605632
MAXBIN__010	Unknown	2005285	805	2941	31.226321744590084	47.88732394366197	36.61971830985915
MAXBIN__011	Candidatus Pelagibacter	393795	254	1427	31.938257942961624	57.74647887323944	36.61971830985915
MAXBIN__012	Candidatus Pelagibacter	471809	235	2145	31.408903282883603	0.0	0.0
MAXBIN__013	None	655303	361	1901	46.52432052888329	0.0	0.0
MAXBIN__014	Candidatus Pelagibacter	1874740	781	3073	28.324425162366772	45.070422535211264	36.61971830985915
MAXBIN__015	Unknown	2061573	868	2741	28.262486960556547	35.2112676056338	36.61971830985915
MAXBIN__016	Candidatus Pelagibacter	1820769	740	3009	34.1477323796553	73.2394366197183	57.74647887323944
MAXBIN__017	Candidatus Thioglobus	771419	262	3781	38.72031386988113	47.88732394366197	49.29577464788732
MAXBIN__018	Candidatus Thioglobus	1649246	569	4016	35.12607953914103	40.84507042253521	16.901408450704224
MAXBIN__019	Unknown	1151768	358	4402	38.24999499967673	30.985915492957748	1.408450704225352
MAXBIN__020	Unknown	418227	227	1899	38.04632062657739	16.901408450704224	4.225352112676056
MAXBIN__021	None	359467	249	1369	40.86309293279045	0.0	0.0
MAXBIN__022	Candidatus Pelagibacter	288198	194	1375	32.03006030136491	33.80281690140845	23.943661971830984
MAXBIN__023	Prasinovirus	264758	73	5443	50.80139705440539	0.0	0.0
MAXBIN__024	Candidatus Pelagibacter	766101	557	1290	27.992695640153798	38.028169014084504	47.88732394366197
MAXBIN__025	None	291869	215	1273	37.31023113361562	0.0	0.0
MAXBIN__026	Candidatus Pelagibacter	190147	142	1251	33.711693735299875	26.760563380281692	14.084507042253522
MAXBIN__027	Unknown	406750	185	2486	32.229694745226574	0.0	0.0
MAXBIN__028	Candidatus Pelagibacter	1917636	870	2557	30.19756824889983	40.84507042253521	12.67605633802817
MAXBIN__029	Candidatus Pelagibacter	146627	85	1607	33.49310727669812	40.84507042253521	14.084507042253522
MAXBIN__030	Candidatus Pelagibacter	890527	585	1423	32.85552823995933	0.0	0.0
MAXBIN__031	Candidatus Pelagibacter	210142	155	1256	32.154485489476706	39.436619718309856	33.80281690140845
