bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
METABAT__1	Pseudoalteromonas	2907953	38	149365	40.445033126842375	36.61971830985915	0.0
METABAT__10	Unknown	1063003	245	4468	41.971859367945704	47.88732394366197	0.0
METABAT__100	Unknown_Gammaproteobacteria	778511	140	6284	33.81191495363482	66.19718309859155	5.633802816901408
METABAT__101	Unknown_Gammaproteobacteria	1248073	232	6086	32.976412001256946	39.436619718309856	19.718309859154928
METABAT__102	Unknown_Verrucomicrobia	3924905	138	50176	52.392870056290995	84.50704225352112	8.450704225352112
METABAT__103	Unknown	297827	24	23101	35.657795949884324	0.0	0.0
METABAT__104	Unknown_Cryomorphaceae	1395354	204	7665	29.390500347692374	69.01408450704226	5.633802816901408
METABAT__105	Thalassiosira	227205	63	3331	50.35023539954979	0.0	0.0
METABAT__106	Unknown_Rhodobacteraceae	2224447	303	9532	40.21599459615333	85.91549295774648	25.35211267605634
METABAT__107	Unknown	890576	220	4044	29.33925272145737	25.35211267605634	0.0
METABAT__108	Unknown_Cryomorphaceae	556138	157	3453	32.171475568041714	43.66197183098591	0.0
METABAT__109	Thermus	1093586	239	4724	68.60856336601145	77.46478873239437	0.0
METABAT__11	Sulfitobacter	4577204	98	76418	52.835775019981504	83.09859154929578	1.408450704225352
METABAT__110	Unknown	912838	239	3860	44.162852754449055	47.88732394366197	1.408450704225352
METABAT__111	Unknown_Gammaproteobacteria	699648	144	4906	37.18910199464396	47.88732394366197	2.816901408450704
METABAT__112	Unknown_Gammaproteobacteria	397436	92	4160	38.21127853670004	0.0	0.0
METABAT__113	Candidatus Thioglobus	1093534	175	7881	37.00394632790531	35.2112676056338	1.408450704225352
METABAT__114	Reinekea	2570147	39	106016	50.83986976929252	85.91549295774648	0.0
METABAT__115	Unknown	429565	110	3936	40.35424906326058	0.0	0.0
METABAT__116	Unknown_Gammaproteobacteria	1958700	369	5996	52.98294326524088	81.69014084507042	4.225352112676056
METABAT__117	None	1283558	264	4800	36.87984140826136	0.0	0.0
METABAT__118	Porticoccus	1242914	117	14742	37.454299866852665	92.95774647887323	5.633802816901408
METABAT__119	Burkholderia	4976840	903	6009	65.9395916426868	76.05633802816901	5.633802816901408
METABAT__12	Unknown_Euryarchaeota	1875502	211	11815	46.49127833472489	88.15789473684211	5.2631578947368425
METABAT__120	Unknown_Betaproteobacteria	1218633	146	11972	34.826872504456254	92.95774647887323	5.633802816901408
METABAT__121	Candidatus Thioglobus	1302825	166	9827	35.42408293356272	84.50704225352112	7.042253521126761
METABAT__122	Colwellia	3666205	42	180978	37.945302113281855	85.91549295774648	2.816901408450704
METABAT__123	Colwellia	1263368	25	71399	37.59480454892109	0.0	0.0
