bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	4769824	3079	1520	41.60275719120816	69.01408450704226	39.436619718309856
Bin_1	Unknown	9263203	839	14479	58.18893832883967	97.18309859154995.77464788732394
Bin_10	None	276426	195	1327	52.54783665196793	0.0	0.0
Bin_100	Unknown	1466989	722	2122	33.71776551274861	49.29577464788732	11.267605633802816
Bin_101	Unknown	1312052	796	1653	44.1935151549836	38.028169014084504	1.408450704225352
Bin_102	None	139042	74	1978	56.913885512726445	0.0	0.0
Bin_103	Unknown	2452550	459	6996	59.36168253821913	46.478873239436616	0.0
Bin_104	Unknown	8641357	1276	8265	34.70750124291662	100.0	428.16901408450707
Bin_105	Unknown_Viruses	107197	14	27846	37.01207312097413	0.0	0.0
Bin_106	Unknown	3297649	1472	2431	41.01354312700934	92.95774647887323	85.91549295774648
Bin_107	Unknown	6228335	1406	4914	48.4488003976042	77.46478873239437	46.478873239436616
Bin_108	Unknown	10626380	5955	1753	41.966647454738826	97.1830985915493	260.5633802816901
Bin_109	Unknown	937653	637	1466	55.7066352167629	0.0	0.0
Bin_11	Unknown_Euryarchaeota	1398519	431	3960	48.16399910290352	65.78947368421052	0.0
Bin_110	Alteromonas	4971293	206	37393	43.65256591471758	98.59154929577464	8.450704225352112
Bin_111	Unknown	26855	18	1432	66.1026988125231	0.0	0.0
Bin_112	Candidatus Thioglobus	5634112	793	9971	37.0508376994017	98.59154929577464	243.66197183098592
Bin_113	Unknown	26659453	14600	1912	35.48998531412706	0.0	0.0
Bin_114	Unknown	17401576	10964	1590	58.6243650097128	98.59154929577464	263.38028169014086
Bin_115	Pseudomonas	937207	172	15502	52.64842383038525	53.521126760563384	52.11267605633803
Bin_116	Unknown	5280832	1665	3447	50.691905124067105	83.09859154929578	12.67605633802817
Bin_117	Mahella	1199	1	1199	55.04587155963303	0.0	0.0
Bin_118	Unknown	847312	434	2037	50.11124634734695	0.0	0.0
Bin_119	Unknown	2040007	720	2994	50.6694310725454	23.943661971830984	0.0
Bin_12	None	53646	31	1730	34.60126367726469	0.0	0.0
Bin_120	Unknown	1811318	702	2891	50.05375318639055	69.01408450704226	9.859154929577464
Bin_121	Sulfitobacter	23646040	1792	49564	56.30559467958336	100.0	346.4788732394366
Bin_122	None	887490	411	2194	43.20061490607309	0.0	0.0
Bin_123	Synechococcus	765712	510	1522	55.51306807130597	60.563380281690144	4.225352112676056
Bin_124	Unknown	17630938	11647	1438	47.42744297399038	100.0	511.2676056338028
Bin_125	Unknown	3924130	453	11032	54.30551204294748	84.50704225352112	1.408450704225352
Bin_126	None	166299	91	1848	40.01554990106137	0.0	0.0
Bin_127	None	94011	15	11816	54.372113927369405	0.0	0.0
Bin_128	Unknown	7803520	2669	3278	52.591334520137025	92.95774647887323	85.91549295774648
Bin_129	Unknown_Porticoccaceae	3314433	404	15865	45.32419973599912	100.0	9.859154929577464
Bin_13	None	1053	1	1053	51.85185185185185	0.0	0.0
Bin_130	Candidatus Thioglobus	10176230	2075	6269	37.32767239009896	100.0	457.7464788732394
Bin_131	Unknown	31755652	16024	2084	51.94367681127646	100.0	667.6056338028169
Bin_132	Unknown_Porticoccaceae	2497896	871	3593	45.158483109423585	90.14084507042253	23.943661971830984
Bin_133	None	1085098	350	3600	34.85272581112576	0.0	0.0
Bin_134	Unknown_Actinobacteria	2937413	777	4731	66.4394571732655	73.2394366197183	25.35211267605634
Bin_135	Unknown	5041176	893	7245	34.226322490253025	100.0	150.70422535211267
Bin_136	None	1088	1	1088	37.31617647058824	0.0	0.0
Bin_137	Nitrosopumilus	3090207	1856	1647	31.477792677607543	92.10526315789474	209.21052631578948
Bin_138	Unknown	8885620	429	41316	48.68568136052737	0.0	0.0
Bin_139	Unknown_Euryarchaeota	1436451	552	2890	56.36985911846391	80.26315789473684	2.6315789473684212
Bin_14	Unknown	3061650	2078	1438	58.49382471875938	46.478873239436616	15.492957746478874
Bin_140	Unknown_Cryomorphaceae	423159	278	1523	49.38199352750568	0.0	0.0
Bin_141	Unknown	8207460	1144	9130	51.754608392814525	100.0	171.83098591549296
Bin_142	None	2969063	2088	1332	62.33782419069315	0.0	0.0
Bin_143	None	2881359	1277	2487	33.37449947821954	0.0	0.0
Bin_144	Unknown_Actinobacteria	724707	465	1503	68.81059091135366	0.0	0.0
Bin_145	Candidatus Thioglobus	2768586	291	15495	40.908930686834225	95.77464788732394	1.408450704225352
Bin_146	None	1166	1	1166	66.0377358490566	0.0	0.0
Bin_147	Unknown	4049282	1986	2154	52.27207143398096	70.42253521126747.88732394366197
Bin_148	None	852684	521	1533	59.4925148450548	0.0	0.0
Bin_149	Unknown_Bacteroidetes	1380516	849	1667	38.94844260505299	52.11267605633803	4.225352112676056
Bin_15	None	1544376	1066	1375	40.0470965469087	0.0	0.0
Bin_150	Unknown	8304483	5474	1468	40.03238409417016	92.95774647887323	100.0
Bin_151	Unknown	653156	415	1581	44.62691864640374	0.0	0.0
Bin_152	None	73976	46	1488	41.26457049426174	0.0	0.0
Bin_153	Unknown	3642762	924	4455	62.49057869195861	76.05633802816901	9.859154929577464
Bin_154	Nitrosopumilus	11686	10	1124	33.77198190919305	0.0	0.0
Bin_155	Unknown_Candidatus_Thalassoarchaea	2864652	457	6760	37.52550286501323	78.94736842105263	61.8421052631579
