bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	Nitrosopumilus	1522272	658	2649	31.032753049830912	94.73684210526316	44.73684210526316
MAXBIN__002	Candidatus Thioglobus	1968885	678	3615	37.071574540279926	91.54929577464789	29.577464788732396
MAXBIN__003	Unknown	1804839	315	8810	40.33745607629663	95.77464788732394	4.225352112676056
MAXBIN__004	Unknown	3395989	1417	2766	42.06731177095603	94.36619718309859	32.394366197183096
MAXBIN__005	Unknown_Euryarchaeota	1701084	258	12297	56.38579209855007	89.47368421052632	6.578947368421052
MAXBIN__006	Unknown_Thaumarchaeota	1974434	943	2314	35.42162167474029	89.47368421052632	109.21052631578948
MAXBIN__007	Unknown_Actinobacteria	2303772	354	13326	67.30302573515932	84.50704225352112	26.760563380281692
MAXBIN__008	Candidatus Pelagibacter	1405312	757	1873	33.039519417292404	39.436619718309856	29.577464788732396
MAXBIN__009	Unknown_Actinobacteria	352101	120	3737	62.54310619000331	0.0	0.0
MAXBIN__010	Unknown_Actinobacteria	2101828	490	6177	69.83154668965197	29.577464788732396	12.67605633802817
MAXBIN__011	Nitrosopumilus	2013938	1069	1917	30.295209534791915	55.26315789473684	65.78947368421052
MAXBIN__012	Unknown_Actinobacteria	624976	193	4126	65.67908371032904	56.33802816901409	42.25352112676056
MAXBIN__013	Unknown	1858472	914	2169	40.83829525291714	0.0	0.0
MAXBIN__014	Unknown_Actinobacteria	1777283	448	5895	68.58693064279356	36.61971830985915	22.535211267605632
MAXBIN__015	Candidatus Thioglobus	2413961	1128	2389	36.802072781461305	77.46478873239437	53.521126760563384
MAXBIN__016	Unknown	2790201	1025	3185	39.32925954406807	70.4225352112676	42.25352112676056
MAXBIN__017	Unknown_Thaumarchaeota	189098	74	2873	34.5710864577470.0	0.0
MAXBIN__018	Candidatus Pelagibacter	1785753	1151	1473	28.89315826674644	71.83098591549296	88.73239436619718
MAXBIN__019	Nitrosopumilus	102193	42	2680	34.602984906019415	0.0	0.0
MAXBIN__020	Nitrosopumilus	168524	53	4360	31.75116209484733	0.0	0.0
MAXBIN__021	Unknown_Thaumarchaeota	503691	235	2434	33.60683698653993	36.8421052631579	23.68421052631579
MAXBIN__022	Nitrosopumilus	858576	450	2023	33.12332491909258	35.526315789473685	28.94736842105263
MAXBIN__023	Nitrosopumilus	100646	36	3830	34.49926306024864	0.0	0.0
MAXBIN__024	Unknown	2783233	1106	2989	42.818841119540025	49.29577464788732	23.943661971830984
MAXBIN__025	Unknown	3033608	1193	3131	62.16240890718452	46.478873239436616	25.35211267605634
MAXBIN__026	Unknown	1741597	649	3556	35.87261649506633	63.38028169014085	26.760563380281692
MAXBIN__027	Unknown_Euryarchaeota	1729508	183	27914	45.69482678027296	93.42105263157895	10.526315789473685
MAXBIN__028	Unknown	2687503	1048	3140	57.84347758961249	73.2394366197183	30.985915492957748
MAXBIN__029	Unknown	836176	190	7176	36.78939720780096	30.985915492957748	5.633802816901408
MAXBIN__030	Unknown	731562	238	3836	36.6520271113348	74.64788732394366	45.070422535211264
MAXBIN__031	Nitrosopumilus	142374	59	2838	32.033178672719906	19.718309859154928	11.267605633802816
MAXBIN__032	Nitrosopumilus	124808	63	2192	32.04769409534431	2.4096385542168677	0.0
MAXBIN__033	Unknown	1872977	619	5018	36.53879525408669	61.971830985915496	15.492957746478874
MAXBIN__034	Unknown	1945396	789	2955	50.58080816555921	0.0	0.0
MAXBIN__035	Unknown_Thaumarchaeota	2427856	1151	2158	37.72757181983237	78.87323943661971	66.19718309859155
MAXBIN__036	Unknown	1604856	564	3584	38.772856216207394	50.70422535211268	38.028169014084504
MAXBIN__037	Unknown	2703462	1282	2233	40.47879092183759	0.0	0.0
MAXBIN__038	Unknown_Euryarchaeota	2318008	818	3848	55.63795234124977	89.47368421052632	30.263157894736842
MAXBIN__039	Candidatus Pelagibacter	2658954	1528	1662	33.33054808563033	70.4225352112676	97.1830985915493
MAXBIN__040	Nitrospina	3131672	615	12656	46.57177596647461	90.14084507042253	9.859154929577464
MAXBIN__041	Unknown	2568760	946	3405	29.255569859814862	83.09859154929578	63.38028169014085
MAXBIN__042	Unknown_Actinobacteria	3227666	743	16367	68.82488610059119	100.0	32.394366197183096
MAXBIN__043	Unknown	2011517	760	3378	32.963894167675974	42.25352112676056	19.718309859154928
MAXBIN__044	Unknown_Gammaproteobacteria	3405312	204	72167	44.34629986416404	100.0	4.225352112676056
MAXBIN__045	Unknown	3555602	1332	3412	55.157628466283235	80.28169014084507	29.577464788732396
MAXBIN__046	Candidatus Pelagibacter	1203373	581	2212	30.45151956036355	38.028169014084504	19.718309859154928
MAXBIN__047	Candidatus Pelagibacter	1164396	709	1616	30.334806534356858	56.33802816901409	47.88732394366197
MAXBIN__048	Unknown	1066582	286	6625	37.78845043676784	0.0	0.0
MAXBIN__049	Unknown	393023	162	2740	34.37354451124595	38.028169014084504	43.66197183098591
MAXBIN__050	Candidatus Thioglobus	2069583	970	2268	39.94576185939079	0.0	0.0
MAXBIN__051	Unknown_Euryarchaeota	2174080	892	2859	36.67320677030799	71.05263157894737	36.8421052631579
MAXBIN__052	Candidatus Thioglobus	489254	245	2076	36.01462338283788	32.394366197183096	12.67605633802817
MAXBIN__053	Candidatus Thioglobus	933148	446	2185	36.31966791461532	36.61971830985915	8.450704225352112
MAXBIN__054	Unknown	596916	128	8426	35.204996020548066	0.0	0.0
MAXBIN__055	Candidatus Thioglobus	238809	93	3440	37.00662738588479	0.0	0.0
MAXBIN__056	Unknown	2725796	979	3436	54.26904134467247	61.971830985915496	23.943661971830984
MAXBIN__057	Unknown_Porticoccaceae	1324606	154	20945	45.9078162169480.0	0.0
MAXBIN__058	Unknown_Euryarchaeota	2575306	642	5922	41.45362909375198	92.10526315789474	31.57894736842105
MAXBIN__059	Candidatus Thioglobus	203923	51	6910	37.69146924688198	0.0	0.0
MAXBIN__060	Unknown	3651779	380	22365	56.8786271134779	95.77464788732394	0.0
MAXBIN__061	Unknown_Pelagibacteraceae	355906	244	1407	30.127091102745958	32.394366197183096	21.12676056338028
MAXBIN__062	None	1604754	1070	1436	34.56349162390266	0.0	0.0
MAXBIN__063	Unknown	2510389	1379	1831	36.092675076744804	0.0	0.0
MAXBIN__064	Unknown	1985530	930	2361	50.4537215517957	46.478873239436616	11.267605633802816
MAXBIN__065	Candidatus Thioglobus	2007560	341	19166	41.452577919516100.0	19.718309859154928
MAXBIN__066	Candidatus Pelagibacter	666711	522	1227	26.604097617369092	29.577464788732396	28.169014084507044
MAXBIN__067	Unknown_Pelagibacteraceae	313275	227	1355	29.236598898018745	28.169014084507044	1.408450704225352
MAXBIN__068	Unknown_Actinobacteria	2169490	538	5337	54.82436401726068	60.563380281690144	19.718309859154928
MAXBIN__069	Unknown_Actinobacteria	1914004	510	5375	54.07844833844102	56.33802816901409	40.84507042253521
MAXBIN__070	Unknown	2202833	598	5646	45.05118316019624	71.83098591549296	2.816901408450704
MAXBIN__071	Candidatus Pelagibacter	502076	368	1307	27.216730205391436	0.0	0.0
MAXBIN__072	Unknown_Thaumarchaeota	218807	104	2206	34.37136113662512	0.0	0.0
MAXBIN__073	Unknown	2252084	1099	2238	30.37290837670796	59.15492957746479	43.66197183098591
MAXBIN__074	Unknown_Pelagibacteraceae	831549	540	1465	31.83047348569723	26.760563380281692	16.901408450704224
MAXBIN__075	Unknown	751186	360	2033	40.994872000316924	0.0	0.0
MAXBIN__076	Unknown	501560	205	2681	47.18367230557602	0.0	0.0
MAXBIN__077	Unknown	215881	97	2741	49.157539535210134	0.0	0.0
MAXBIN__078	Nitrosopumilus	3174469	2088	1471	27.798842592025107	0.0	0.0
MAXBIN__079	Unknown	1674450	793	2328	56.43877328486375	57.74647887323944	36.61971830985915
