name	number_unique_genes	number_multiple_genes	number_multiple_unique_genes	number_missing_genes	list_unique_genes	list_multiple_genes	list_multiple_unique_genes	list_missing_genes
METABAT__10-contigs	63	7	0	50	PF00380.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00019,TIGR00020,TIGR00043,TIGR00054,TIGR00059,TIGR00065,TIGR00082,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00158,TIGR00166,TIGR00194,TIGR00337,TIGR00362,TIGR00382,TIGR00396,TIGR00414,TIGR00416,TIGR00431,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00487,TIGR00496,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00717,TIGR00755,TIGR00928,TIGR01011,TIGR01039,TIGR01044,TIGR01063,TIGR01066,TIGR01082,TIGR01146,TIGR01169,TIGR01171,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR03263,TIGR03625,TIGR03953	TIGR00064,TIGR00115,TIGR00116,TIGR00398,TIGR00459,TIGR00959,TIGR01391		PF00410.14,TIGR00006,TIGR00029,TIGR00061,TIGR00083,TIGR00084,TIGR00092,TIGR00138,TIGR00168,TIGR00186,TIGR00250,TIGR00344,TIGR00392,TIGR00420,TIGR00435,TIGR00460,TIGR00468,TIGR00472,TIGR00539,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00810,TIGR00922,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01059,TIGR01071,TIGR01079,TIGR01087,TIGR01128,TIGR01164,TIGR01302,TIGR02012,TIGR02013,TIGR02027,TIGR02432,TIGR02729,TIGR03594,TIGR03632,TIGR03654,TIGR03723,TIGR03725
METABAT__101-contigs	87	4	0	29	PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF03726.9,TIGR00019,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00065,TIGR00082,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00420,TIGR00431,TIGR00436,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00928,TIGR00963,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01393,TIGR01951,TIGR02012,TIGR02027,TIGR02075,TIGR02191,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03723,TIGR03725,TIGR03953	TIGR00006,TIGR00398,TIGR01510,TIGR02013		PF02576.12,TIGR00020,TIGR00064,TIGR00083,TIGR00084,TIGR00086,TIGR00092,TIGR00138,TIGR00194,TIGR00414,TIGR00416,TIGR00435,TIGR00442,TIGR00445,TIGR00539,TIGR00634,TIGR00635,TIGR00922,TIGR00959,TIGR00964,TIGR01087,TIGR01128,TIGR01302,TIGR01391,TIGR01394,TIGR01632,TIGR01953,TIGR02273,TIGR03654
METABAT__102-contigs	111	3	0	6	PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953	TIGR00382,TIGR01039,TIGR01146		TIGR00043,TIGR00092,TIGR00168,TIGR00717,TIGR01128,TIGR03625
METABAT__113-contigs	76	0	0	44	PF00380.14,PF00410.14,PF00466.15,TIGR00006,TIGR00019,TIGR00043,TIGR00054,TIGR00059,TIGR00064,TIGR00065,TIGR00084,TIGR00092,TIGR00095,TIGR00116,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00382,TIGR00396,TIGR00414,TIGR00435,TIGR00445,TIGR00456,TIGR00459,TIGR00468,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR02012,TIGR02013,TIGR02075,TIGR02397,TIGR03263,TIGR03594,TIGR03625,TIGR03654,TIGR03723,TIGR03725,TIGR03953			PF01025.14,PF02576.12,PF03726.9,TIGR00020,TIGR00029,TIGR00061,TIGR00082,TIGR00083,TIGR00086,TIGR00088,TIGR00090,TIGR00115,TIGR00138,TIGR00158,TIGR00362,TIGR00392,TIGR00398,TIGR00416,TIGR00420,TIGR00431,TIGR00436,TIGR00442,TIGR00460,TIGR00472,TIGR00487,TIGR00615,TIGR00663,TIGR00717,TIGR00959,TIGR01017,TIGR01059,TIGR01063,TIGR01087,TIGR01128,TIGR01302,TIGR01953,TIGR02027,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02432,TIGR02729,TIGR03632
METABAT__114-contigs	79	3	0	38	PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF03726.9,TIGR00006,TIGR00020,TIGR00029,TIGR00043,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00095,TIGR00116,TIGR00168,TIGR00194,TIGR00337,TIGR00416,TIGR00431,TIGR00435,TIGR00442,TIGR00445,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR02012,TIGR02027,TIGR02075,TIGR02386,TIGR03263,TIGR03594,TIGR03625,TIGR03654,TIGR03723,TIGR03725,TIGR03953	TIGR00065,TIGR00382,TIGR02191		PF02576.12,TIGR00019,TIGR00054,TIGR00064,TIGR00088,TIGR00090,TIGR00092,TIGR00115,TIGR00138,TIGR00158,TIGR00166,TIGR00186,TIGR00250,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00420,TIGR00436,TIGR00456,TIGR00539,TIGR00580,TIGR00635,TIGR00755,TIGR00928,TIGR01017,TIGR01063,TIGR01393,TIGR01953,TIGR02013,TIGR02273,TIGR02350,TIGR02397,TIGR02432,TIGR02729,TIGR03632
METABAT__118-contigs	80	5	0	35	PF00380.14,PF00410.14,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00086,TIGR00090,TIGR00092,TIGR00095,TIGR00116,TIGR00158,TIGR00168,TIGR00186,TIGR00250,TIGR00337,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00416,TIGR00431,TIGR00436,TIGR00442,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00928,TIGR00959,TIGR01009,TIGR01011,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01063,TIGR01066,TIGR01087,TIGR01146,TIGR01164,TIGR01171,TIGR01302,TIGR01510,TIGR01951,TIGR01953,TIGR02012,TIGR02027,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03654,TIGR03725,TIGR03953	TIGR00194,TIGR00382,TIGR00445,TIGR01391,TIGR02350		PF00466.15,TIGR00029,TIGR00083,TIGR00084,TIGR00088,TIGR00115,TIGR00138,TIGR00166,TIGR00344,TIGR00414,TIGR00420,TIGR00435,TIGR00635,TIGR00717,TIGR00922,TIGR00963,TIGR00964,TIGR00967,TIGR01017,TIGR01021,TIGR01059,TIGR01071,TIGR01079,TIGR01082,TIGR01128,TIGR01169,TIGR01393,TIGR01394,TIGR01632,TIGR02013,TIGR02075,TIGR02191,TIGR02273,TIGR03632,TIGR03723
METABAT__121-contigs	82	2	0	36	PF00410.14,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00061,TIGR00065,TIGR00082,TIGR00083,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00158,TIGR00166,TIGR00186,TIGR00250,TIGR00337,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00414,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00580,TIGR00593,TIGR00615,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00963,TIGR00967,TIGR01009,TIGR01021,TIGR01029,TIGR01032,TIGR01044,TIGR01059,TIGR01063,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01164,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01953,TIGR02012,TIGR02013,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03654,TIGR03725,TIGR03953	PF00380.14,TIGR01066		PF00466.15,TIGR00054,TIGR00059,TIGR00064,TIGR00084,TIGR00092,TIGR00116,TIGR00138,TIGR00168,TIGR00194,TIGR00344,TIGR00398,TIGR00416,TIGR00496,TIGR00539,TIGR00631,TIGR00634,TIGR00635,TIGR00717,TIGR00922,TIGR00928,TIGR00959,TIGR00964,TIGR01011,TIGR01017,TIGR01039,TIGR01146,TIGR01169,TIGR01302,TIGR01632,TIGR01951,TIGR02027,TIGR02075,TIGR02191,TIGR03632,TIGR03723
METABAT__122-contigs	100	7	0	13	PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00194,TIGR00250,TIGR00344,TIGR00392,TIGR00396,TIGR00398,TIGR00416,TIGR00431,TIGR00436,TIGR00442,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03725,TIGR03953	PF03726.9,TIGR00095,TIGR00186,TIGR00382,TIGR00435,TIGR00643,TIGR02027		TIGR00083,TIGR00337,TIGR00362,TIGR00414,TIGR00420,TIGR00445,TIGR00472,TIGR00631,TIGR00663,TIGR00963,TIGR01059,TIGR02013,TIGR03723
METABAT__123-contigs	69	16	1	34	PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF03726.9,TIGR00029,TIGR00043,TIGR00054,TIGR00061,TIGR00064,TIGR00082,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00158,TIGR00166,TIGR00168,TIGR00250,TIGR00337,TIGR00392,TIGR00396,TIGR00414,TIGR00416,TIGR00436,TIGR00442,TIGR00456,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00615,TIGR00643,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00964,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01128,TIGR01164,TIGR01169,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02350,TIGR02386,TIGR02432,TIGR03263,TIGR03625,TIGR03632,TIGR03725,TIGR03953	PF02576.12,TIGR00020,TIGR00059,TIGR00083,TIGR00382,TIGR00398,TIGR00431,TIGR00445,TIGR00580,TIGR00928,TIGR00967,TIGR01087,TIGR01302,TIGR01394,TIGR02397,TIGR03594	TIGR00006	TIGR00019,TIGR00065,TIGR00084,TIGR00086,TIGR00088,TIGR00138,TIGR00186,TIGR00194,TIGR00344,TIGR00362,TIGR00420,TIGR00435,TIGR00459,TIGR00539,TIGR00593,TIGR00631,TIGR00634,TIGR00635,TIGR00663,TIGR00755,TIGR00963,TIGR01009,TIGR01039,TIGR01044,TIGR01059,TIGR01146,TIGR01171,TIGR01391,TIGR01393,TIGR01510,TIGR02273,TIGR02729,TIGR03654,TIGR03723
METABAT__125-contigs	100	6	0	14	PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00083,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00442,TIGR00445,TIGR00456,TIGR00460,TIGR00468,TIGR00472,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00717,TIGR00755,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03725,TIGR03953	TIGR00084,TIGR00092,TIGR00382,TIGR00459,TIGR00615,TIGR01044		TIGR00020,TIGR00029,TIGR00082,TIGR00186,TIGR00362,TIGR00436,TIGR00487,TIGR00663,TIGR00810,TIGR01011,TIGR01059,TIGR01063,TIGR02350,TIGR03723
