bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
METABAT__1	Unknown_Euryarchaeota	879738	208	4274	43.520180568170794	48.68421052631579	2.6315789473684212
METABAT__10	Unknown_Actinobacteria	1542502	327	4880	65.90778899534413	54.929577464788736	4.225352112676056
METABAT__100	Unknown_Nitrosopumilales	232357	58	3737	33.908262971128	0.0	0.0
METABAT__101	Unknown	1247837	219	7168	33.82840913630758	88.73239436619718	7.042253521126761
METABAT__102	Sulfitobacter	3739668	18	429339	56.05795583429507	94.36619718309859	4.225352112676056
METABAT__103	Unknown	327605	91	3495	33.43214342482651	0.0	0.0
METABAT__104	Unknown	877263	184	4766	32.815956016182774	39.436619718309856	0.0
METABAT__105	Unknown	1737923	388	4520	42.34442439189709	69.01408450704226	11.267605633802816
METABAT__106	Unknown_Euryarchaeota	290293	80	3547	44.656743637822096	0.0	0.0
METABAT__107	Unknown	1433440	398	3531	53.86010170645644	0.0	0.0
METABAT__108	Unknown	1228584	299	4167	40.042192544052185	32.394366197183096	1.408450704225352
METABAT__109	Candidatus Pelagibacter	330640	95	3494	31.484384560263067	0.0	0.0
METABAT__11	Unknown	2474491	458	6003	36.62629461157857	91.54929577464789	147.88732394366198
METABAT__110	Unknown	447151	94	5125	37.06635681711961	0.0	0.0
METABAT__111	Unknown_Euryarchaeota	1654616	273	7035	41.4971604074734	55.26315789473684	5.2631578947368425
METABAT__112	Candidatus Thioglobus	804475	166	5060	36.75365232390463	39.436619718309856	2.816901408450704
METABAT__113	Woeseia	2315134	364	7464	51.86002920202005	69.01408450704226	0.0
METABAT__114	Unknown	1037214	157	8278	42.740592502773566	76.05633802816901	0.0
METABAT__115	Candidatus Thioglobus	358458	77	4587	36.24554840740145	0.0	0.0
METABAT__116	Unknown_Euryarchaeota	921929	164	6149	55.49767244124424	61.8421052631579	1.3157894736842106
METABAT__117	Unknown	3158532	491	7893	32.48537614401552	95.77464788732394	73.2394366197183
METABAT__118	Unknown	3981137	699	6346	59.39250851466207	73.2394366197183	1.408450704225352
METABAT__119	Unknown_Euryarchaeota	1137565	250	4720	48.24145637352349	51.31578947368421	0.0
METABAT__12	Unknown	2569758	510	5378	36.46104699778253	92.95774647887323	36.61971830985915
METABAT__120	Unknown_Actinobacteria	3547596	556	7511	68.72616407520097	83.09859154929578	60.563380281690144
METABAT__121	Unknown	1049401	173	6879	37.49626736657235	70.4225352112676	2.816901408450704
METABAT__122	Unknown	3939664	680	6327	48.47221089346546	91.54929577464789	1.408450704225352
METABAT__123	Unknown	2531415	487	5706	53.2437861004901	73.2394366197183	8.450704225352112
METABAT__124	Unknown	1367253	336	4047	38.60194697326008	32.394366197183096	0.0
METABAT__125	Unknown	2324085	345	8014	54.7877984962399	87.32394366197182	1.408450704225352
METABAT__126	Unknown_Viruses	542964	148	3522	32.04525970946273	0.0	0.0
