"bin.name"	"smp.name"	"coverage"	"smp.date"	"stn"	"transect"	"region"	"waters"	"season"	"scientific.name"	"tax.id"	"common.name"	"completeness.score"	"contamination.score"	"accession"	"domain"	"phylum"	"class"	"order"	"family"	"genus"
"METABAT__100"	"20180529_SB5"	0.0914091130375807	2018-05-29	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20180529_SB2"	6.62315754048433	2018-05-29	"SB2"	"SB"	"South"	"coastal"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20180520_SI3"	1.79662715106145	2018-05-20	"SI3"	"SI"	"North"	"coastal"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20150530_SB5"	0.156280386532753	2015-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20170530_SB5"	0.072279004407131	2017-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20170818_SB5"	3.12185698082622	2017-08-18	"SB5"	"SB"	"South"	"oceanic"	"Summer"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20170521_SI8"	1.22555108405662	2017-05-21	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20170809_SI8"	13.7257431173098	2017-08-09	"SI8"	"SI"	"North"	"oceanic"	"Summer"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20160531_SB5"	1.25574590468214	2016-05-31	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20170522_SI3"	4.09099550295372	2017-05-22	"SI3"	"SI"	"North"	"coastal"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20180216_SI8"	0.0766951269795803	2018-02-16	"SI8"	"SI"	"North"	"oceanic"	"Winter"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20170809_SI3"	33.2020767850422	2017-08-09	"SI3"	"SI"	"North"	"coastal"	"Summer"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20160523_SI8"	0.227617849972576	2016-05-23	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20180518_SI8"	0.0820823340967565	2018-05-18	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__100"	"20170818_SB2"	77.2104132118878	2017-08-18	"SB2"	"SB"	"South"	"coastal"	"Summer"	"SAR86 cluster bacterium"	2030880	"Gamma Proteobacterium SCGC AAA076-P13"	66.19	5.6	"ERS5597041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SCGC-AAA076-P13"
"METABAT__102"	"20170522_SI3"	0.455726953900795	2017-05-22	"SI3"	"SI"	"North"	"coastal"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20180529_SB2"	0.0124611933282462	2018-05-29	"SB2"	"SB"	"South"	"coastal"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20180216_SI8"	0.107096859669215	2018-02-16	"SI8"	"SI"	"North"	"oceanic"	"Winter"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
